date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT
2002-01-01 00:00:00,1.22262,1.16668,582,805,2060,754,176569
2002-01-08 00:00:00,1.33344,1.2165,683,872,2267,785,186355
2002-01-15 00:00:00,1.31929,1.13057,642,878,2176,831,192469
2002-01-22 00:00:00,1.49484,1.2524600000000001,728,1045,2599,863,207512
2002-01-29 00:00:00,1.47195,1.30237,823,1189,2907,909,223208
2002-02-05 00:00:00,1.58094,1.40551,887,1272,3225,930,229454
2002-02-12 00:00:00,1.4942600000000001,1.38437,851,1173,3097,923,223712
2002-02-19 00:00:00,1.4056899999999999,1.3256299999999999,802,1166,2967,922,223818
2002-02-26 00:00:00,1.6141,1.43475,834,978,2709,918,188814
2002-03-05 00:00:00,1.45967,1.25433,857,1117,3049,937,243078
2002-03-12 00:00:00,1.59896,1.25757,804,1179,2957,928,235136
2002-03-19 00:00:00,2.16697,1.58017,951,1404,3416,908,216179
2002-03-26 00:00:00,2.57842,1.9800799999999998,915,937,2857,865,144287
2002-04-02 00:00:00,2.38636,1.90428,1028,1019,3260,879,171193
2002-04-09 00:00:00,1.7362099999999998,1.5901,1068,1296,3729,926,234513
2002-04-16 00:00:00,2.06296,1.81559,1154,1798,4204,902,231550
2002-04-23 00:00:00,2.58113,2.4180099999999998,1373,2998,5696,927,235566
2002-04-30 00:00:00,2.93909,2.86635,1411,4064,7079,884,246969
2002-05-07 00:00:00,3.22539,3.16662,1606,4447,7782,889,245751
2002-05-14 00:00:00,3.06982,3.0155,1568,4224,7649,903,253656
2002-05-21 00:00:00,3.20044,2.9978,1694,3689,7228,871,241110
2002-05-28 00:00:00,2.44888,2.31957,1336,2583,5606,857,241683
2002-06-04 00:00:00,2.1344,1.94707,1015,2103,4450,839,228549
2002-06-11 00:00:00,1.9986599999999999,1.72985,880,1669,3810,835,220250
2002-06-18 00:00:00,1.93849,1.51837,737,1321,2987,795,196724
2002-06-25 00:00:00,1.41293,1.2261600000000001,624,1016,2439,775,198913
2002-07-02 00:00:00,1.23472,1.05433,506,846,2028,741,192349
2002-07-09 00:00:00,1.20005,1.07108,569,799,2082,735,194383
2002-07-16 00:00:00,0.910135,0.8261200000000001,440,539,1467,669,177577
2002-07-23 00:00:00,0.932265,0.8205049999999999,429,508,1445,682,176111
2002-07-30 00:00:00,0.692175,0.630846,275,444,1075,655,170406
2002-08-06 00:00:00,0.6694060000000001,0.63935,215,471,1005,613,157191
2002-08-13 00:00:00,0.727705,0.586609,248,283,836,547,142514
2002-08-20 00:00:00,0.717701,0.7730239999999999,264,262,740,406,95728
2002-08-27 00:00:00,0.7893939999999999,0.790743,213,205,641,393,81063
2002-09-03 00:00:00,0.722129,0.711847,201,195,563,344,79090
2002-09-10 00:00:00,0.591326,0.794637,198,187,620,341,78023
2002-09-17 00:00:00,0.52307,0.586604,139,123,423,322,72110
2002-09-24 00:00:00,0.45023599999999997,0.6159819999999999,122,124,441,322,71593
2002-10-01 00:00:00,0.397421,0.49150699999999997,109,91,318,310,64699
2002-10-08 00:00:00,0.44800200000000007,0.604341,137,141,441,308,72972
2002-10-15 00:00:00,0.474767,0.524478,98,98,365,301,69593
2002-10-22 00:00:00,0.453251,0.590692,112,139,420,302,71103
2002-10-29 00:00:00,0.35215799999999997,0.505135,100,120,361,290,71466
2002-11-05 00:00:00,0.5253220000000001,0.634271,136,125,443,295,69844
2002-11-12 00:00:00,0.492991,0.610118,120,131,421,283,69003
2002-11-19 00:00:00,0.542728,0.641227,159,144,450,277,70178
2002-11-26 00:00:00,0.49034700000000003,0.661429,166,155,463,276,70000
2002-12-03 00:00:00,0.7359140000000001,0.7926810000000001,177,182,519,271,65474
2002-12-10 00:00:00,0.581771,0.639059,145,184,475,267,74328
2002-12-17 00:00:00,0.654162,0.636732,136,183,461,264,72401
2002-12-24 00:00:00,0.749504,0.747829,135,221,533,268,71273
2002-12-31 00:00:00,0.884021,0.960873,808,881,2442,830,254144
2003-01-07 00:00:00,1.02773,1.04325,913,1132,2932,931,281045
2003-01-14 00:00:00,1.28296,1.0545,878,1147,3031,974,287436
2003-01-21 00:00:00,1.32661,1.1123100000000001,1006,1369,3475,1007,312412
2003-01-28 00:00:00,1.7730400000000002,1.4127399999999999,1207,2080,4690,1074,331980
2003-02-04 00:00:00,2.43814,1.7270299999999998,1542,2735,5790,1111,335258
2003-02-11 00:00:00,2.72605,2.407,2185,4133,8385,1141,348359
2003-02-18 00:00:00,3.7319199999999997,3.10962,2561,5684,11141,1129,358275
2003-02-25 00:00:00,4.54894,4.30779,3247,4933,11742,1118,272576
2003-03-04 00:00:00,5.3990599999999995,4.8303,4734,7817,18948,1189,392274
2003-03-11 00:00:00,7.38735,6.42905,6620,11550,24962,1173,388269
2003-03-18 00:00:00,7.48097,6.8673399999999996,6434,9851,23699,1148,345097
2003-03-25 00:00:00,7.6279699999999995,7.064960000000001,5336,5231,16415,1122,232344
2003-04-01 00:00:00,5.14051,4.55115,3391,2894,11332,1139,248992
2003-04-08 00:00:00,2.89129,2.41833,1930,2299,7602,1160,314349
2003-04-15 00:00:00,2.10429,1.80906,1679,1857,5583,1141,308614
2003-04-22 00:00:00,1.8869599999999997,1.71202,1721,1604,4961,1084,289774
2003-04-29 00:00:00,1.7766,1.5425,1487,1543,4436,1071,287586
2003-05-06 00:00:00,1.46001,1.43787,1454,1448,4251,1054,295646
2003-05-13 00:00:00,1.3778700000000002,1.32427,1420,1297,3824,986,288762
2003-05-20 00:00:00,1.30532,1.30726,1301,1255,3691,1004,282347
2003-05-27 00:00:00,1.08691,1.03698,956,1038,2916,948,281202
2003-06-03 00:00:00,0.9918879999999999,1.01032,925,910,2744,894,271597
2003-06-10 00:00:00,1.02765,1.05249,878,888,2708,897,257294
2003-06-17 00:00:00,1.0579,1.02009,730,826,2487,849,243802
2003-06-24 00:00:00,0.849361,0.9244190000000001,760,733,2300,859,248805
2003-07-01 00:00:00,0.7471270000000001,0.7906449999999999,610,611,1858,828,234998
2003-07-08 00:00:00,0.661708,0.80261,583,566,1705,774,212432
2003-07-15 00:00:00,0.6795140000000001,0.8361299999999999,545,573,1749,755,209178
2003-07-22 00:00:00,0.633071,0.7924359999999999,501,511,1615,679,203802
2003-07-29 00:00:00,0.569894,0.683588,470,404,1331,658,194708
2003-08-05 00:00:00,0.591357,0.757452,435,491,1394,629,184038
2003-08-12 00:00:00,0.589044,0.7885850000000001,449,443,1327,599,168276
2003-08-19 00:00:00,0.6786399999999999,0.812171,451,380,1262,553,155386
2003-08-26 00:00:00,0.637558,0.804463,375,349,1070,463,133008
2003-09-02 00:00:00,0.8133090000000001,0.8777010000000001,391,308,1061,452,120884
2003-09-09 00:00:00,0.834551,0.741453,355,309,987,443,133117
2003-09-16 00:00:00,0.616174,0.661022,307,240,851,426,128740
2003-09-23 00:00:00,0.513286,0.715109,277,284,887,423,124037
2003-09-30 00:00:00,0.351881,0.562241,238,183,698,408,124146
2003-10-07 00:00:00,0.542621,0.786808,233,205,710,381,90238
2003-10-14 00:00:00,0.581036,0.860658,249,280,836,378,97135
2003-10-21 00:00:00,0.495486,0.689944,259,200,659,370,95515
2003-10-28 00:00:00,0.6120899999999999,0.779691,260,230,719,363,92216
2003-11-04 00:00:00,0.5314909999999999,0.6281439999999999,213,235,733,345,116693
2003-11-11 00:00:00,0.519987,0.902459,243,256,809,334,89644
2003-11-18 00:00:00,0.574476,0.806443,256,256,770,335,95481
